,NumItems,NumKnapsacks,CapacityType,Scipy,Pulp,Gekko
0,50,1,Equal,0.0029664039611816406,0.025470972061157227,0.3085930347442627
1,50,1,Different,0.0015957355499267578,0.0238037109375,0.3010587692260742
2,100,1,Equal,0.0018122196197509766,0.023843765258789062,0.5194122791290283
3,100,1,Different,0.0017077922821044922,0.03307604789733887,0.8070945739746094
4,150,1,Equal,0.002591848373413086,0.03278017044067383,0.7709212303161621
5,150,1,Different,0.0021216869354248047,0.03705167770385742,0.8317413330078125
6,200,1,Equal,0.002184629440307617,0.027362346649169922,0.8823935985565186
7,200,1,Different,0.0031747817993164062,0.025983572006225586,1.3571288585662842
8,250,1,Equal,0.0035605430603027344,0.04648160934448242,2.027585744857788
9,250,1,Different,0.002561330795288086,0.04794168472290039,1.734013557434082
10,300,1,Equal,0.003011941909790039,0.06453156471252441,1.6671812534332275
11,300,1,Different,0.002814054489135742,0.03593778610229492,1.642589807510376
12,350,1,Equal,0.0036020278930664062,0.043752193450927734,1.7288517951965332
13,350,1,Different,0.0033943653106689453,0.03966808319091797,3.513190269470215
14,400,1,Equal,0.006190776824951172,0.04491829872131348,3.4046733379364014
15,400,1,Different,0.0038225650787353516,0.06634998321533203,2.551461935043335
16,450,1,Equal,0.0046269893646240234,0.053804874420166016,2.689307928085327
17,450,1,Different,0.006434202194213867,0.05714869499206543,3.479457139968872
18,500,1,Equal,0.007231712341308594,0.04593849182128906,4.186579465866089
19,500,1,Different,0.005029916763305664,0.08738517761230469,3.140200614929199
20,550,1,Equal,0.006079912185668945,0.06250977516174316,4.193408250808716
21,550,1,Different,0.008227109909057617,0.05681204795837402,4.50011420249939
22,600,1,Equal,0.009308099746704102,0.09077668190002441,4.975985050201416
23,600,1,Different,0.006689786911010742,0.06801867485046387,4.686124563217163
24,650,1,Equal,0.008256912231445312,0.06343579292297363,6.5070412158966064
25,650,1,Different,0.007884979248046875,0.058188676834106445,5.179877519607544
26,700,1,Equal,0.008492231369018555,0.05573558807373047,7.636204957962036
27,700,1,Different,0.008176565170288086,0.06114053726196289,5.6098952293396
28,750,1,Equal,0.014630556106567383,0.041327476501464844,6.912070274353027
29,750,1,Different,0.009114265441894531,0.10176682472229004,5.501517057418823
30,800,1,Equal,0.014273405075073242,0.08561587333679199,7.381836175918579
31,800,1,Different,0.011214256286621094,0.1480422019958496,6.347937107086182
32,850,1,Equal,0.01137232780456543,0.08532285690307617,8.35879373550415
33,850,1,Different,0.011115789413452148,0.07630610466003418,7.725800514221191
34,900,1,Equal,0.013347625732421875,0.059313297271728516,8.827889919281006
35,900,1,Different,0.012838363647460938,0.07561945915222168,10.331844568252563
36,950,1,Equal,0.013844490051269531,0.09390783309936523,14.022027969360352
37,950,1,Different,0.017623424530029297,0.08313512802124023,8.988216400146484
38,1000,1,Equal,0.014866352081298828,0.1580348014831543,9.253543615341187
39,1000,1,Different,0.014974117279052734,0.0755009651184082,10.50216269493103
40,50,3,Equal,0.0033388137817382812,0.01705002784729004,0.0
41,50,3,Different,0.005644559860229492,0.015885353088378906,0.0
42,100,3,Equal,0.008472442626953125,0.02237868309020996,0.0
43,100,3,Different,0.004369258880615234,0.02271246910095215,0.0
44,150,3,Equal,0.005785226821899414,0.02863287925720215,0.0
45,150,3,Different,0.005907773971557617,0.03090047836303711,0.0
46,200,3,Equal,0.007059574127197266,0.044180870056152344,0.0
47,200,3,Different,0.008424520492553711,0.0369260311126709,0.0
48,250,3,Equal,0.009214639663696289,0.04329109191894531,0.0
49,250,3,Different,0.011839866638183594,0.057131052017211914,0.0
50,300,3,Equal,0.015276670455932617,0.07763099670410156,0.0
51,300,3,Different,0.014457225799560547,0.07004976272583008,0.0
52,350,3,Equal,0.01665472984313965,0.07224535942077637,0.0
53,350,3,Different,0.018418550491333008,0.07586979866027832,0.0
54,400,3,Equal,0.018833398818969727,0.08961057662963867,0.0
55,400,3,Different,0.02166128158569336,0.08317279815673828,0.0
56,450,3,Equal,0.023892879486083984,0.08858132362365723,0.0
57,450,3,Different,0.02224588394165039,0.10271716117858887,0.0
58,500,3,Equal,0.02949666976928711,0.09881186485290527,0.0
59,500,3,Different,0.02863907814025879,0.0983266830444336,0.0
60,550,3,Equal,0.037203311920166016,0.1081390380859375,0.0
61,550,3,Different,0.027827024459838867,0.11504888534545898,0.0
62,600,3,Equal,0.03421497344970703,0.11347746849060059,0.0
63,600,3,Different,0.04241752624511719,0.10544180870056152,0.0
64,650,3,Equal,0.03358030319213867,0.09771490097045898,0.0
65,650,3,Different,0.036675214767456055,0.10931730270385742,0.0
66,700,3,Equal,0.03791451454162598,0.10679459571838379,0.0
67,700,3,Different,0.052343130111694336,0.13424468040466309,0.0
68,750,3,Equal,0.05370616912841797,0.14804458618164062,0.0
69,750,3,Different,0.05405783653259277,0.15310049057006836,0.0
70,800,3,Equal,0.0563812255859375,0.1565089225769043,0.0
71,800,3,Different,0.0927729606628418,0.1782090663909912,0.0
72,850,3,Equal,0.07490849494934082,0.21765875816345215,0.0
73,850,3,Different,0.0824575424194336,0.22574806213378906,0.0
74,900,3,Equal,0.09012031555175781,0.36909961700439453,0.0
75,900,3,Different,0.09619927406311035,0.25548291206359863,0.0
76,950,3,Equal,0.09452199935913086,0.24024033546447754,0.0
77,950,3,Different,0.125626802444458,0.22935724258422852,0.0
78,1000,3,Equal,0.10033369064331055,0.25273609161376953,0.0
79,1000,3,Different,0.0912177562713623,0.16474199295043945,0.0
80,50,5,Equal,0.0038995742797851562,0.02219533920288086,0.0
81,50,5,Different,0.00426173210144043,0.028278112411499023,0.0
82,100,5,Equal,0.005894899368286133,0.03781938552856445,0.0
83,100,5,Different,0.008054494857788086,0.04653525352478027,0.0
84,150,5,Equal,0.008206605911254883,0.05089616775512695,0.0
85,150,5,Different,0.011062145233154297,0.04653596878051758,0.0
86,200,5,Equal,0.010897159576416016,0.06430721282958984,0.0
87,200,5,Different,0.012131929397583008,0.05951333045959473,0.0
88,250,5,Equal,0.0177762508392334,0.07550334930419922,0.0
89,250,5,Different,0.016010284423828125,0.07475399971008301,0.0
90,300,5,Equal,0.023822784423828125,0.08170127868652344,0.0
91,300,5,Different,0.02101874351501465,0.09151053428649902,0.0
92,350,5,Equal,0.02580404281616211,0.11489081382751465,0.0
93,350,5,Different,0.026763200759887695,0.10872626304626465,0.0
94,400,5,Equal,0.034305572509765625,0.13010215759277344,0.0
95,400,5,Different,0.03219032287597656,0.13733983039855957,0.0
96,450,5,Equal,0.03946208953857422,0.15808463096618652,0.0
97,450,5,Different,0.032317399978637695,0.11173605918884277,0.0
98,500,5,Equal,0.03673720359802246,0.12280869483947754,0.0
99,500,5,Different,0.03750109672546387,0.1354811191558838,0.0
100,550,5,Equal,0.042092323303222656,0.12904572486877441,0.0
101,550,5,Different,0.05053997039794922,0.16380643844604492,0.0
102,600,5,Equal,0.05476975440979004,0.2010023593902588,0.0
103,600,5,Different,0.04916977882385254,0.15047073364257812,0.0
104,650,5,Equal,0.051271677017211914,0.2978074550628662,0.0
105,650,5,Different,0.0550079345703125,0.15492749214172363,0.0
106,700,5,Equal,0.0571284294128418,0.1703166961669922,0.0
107,700,5,Different,0.07397294044494629,0.22896909713745117,0.0
108,750,5,Equal,0.06478428840637207,0.17715811729431152,0.0
109,750,5,Different,0.09688782691955566,0.19005680084228516,0.0
110,800,5,Equal,0.08136749267578125,0.2119290828704834,0.0
111,800,5,Different,0.08372640609741211,0.198988676071167,0.0
112,850,5,Equal,0.10742521286010742,0.28440403938293457,0.0
113,850,5,Different,0.10336422920227051,0.23065638542175293,0.0
114,900,5,Equal,0.09925365447998047,0.2712838649749756,0.0
115,900,5,Different,0.10877752304077148,0.34337806701660156,0.0
116,950,5,Equal,0.16932249069213867,0.34329795837402344,0.0
117,950,5,Different,0.18165898323059082,0.4221463203430176,0.0
118,1000,5,Equal,0.1866769790649414,0.4004402160644531,0.0
119,1000,5,Different,0.21420598030090332,0.402254581451416,0.0
120,50,10,Equal,0.007940292358398438,0.056066274642944336,0.0
121,50,10,Different,0.006399869918823242,0.04723715782165527,0.0
122,100,10,Equal,0.012577295303344727,0.0977487564086914,0.0
123,100,10,Different,0.008313179016113281,0.0641934871673584,0.0
124,150,10,Equal,0.012616872787475586,0.07886576652526855,0.0
125,150,10,Different,0.012753725051879883,0.07433819770812988,0.0
126,200,10,Equal,0.024364471435546875,0.09956884384155273,0.0
127,200,10,Different,0.02630138397216797,0.13635039329528809,0.0
128,250,10,Equal,0.030513525009155273,0.16726350784301758,0.0
129,250,10,Different,0.028692007064819336,0.16057085990905762,0.0
130,300,10,Equal,0.048258304595947266,0.1700756549835205,0.0
131,300,10,Different,0.0483858585357666,0.18617701530456543,0.0
132,350,10,Equal,0.04925107955932617,0.1941666603088379,0.0
133,350,10,Different,0.04684257507324219,0.20445680618286133,0.0
134,400,10,Equal,0.04598569869995117,0.20597219467163086,0.0
135,400,10,Different,0.0443723201751709,0.17856693267822266,0.0
136,450,10,Equal,0.05599498748779297,0.20324254035949707,0.0
137,450,10,Different,0.053598880767822266,0.253741979598999,0.0
138,500,10,Equal,0.06325984001159668,0.22340679168701172,0.0
139,500,10,Different,0.07312607765197754,0.30175209045410156,0.0
140,550,10,Equal,0.0818948745727539,0.25993824005126953,0.0
141,550,10,Different,0.09221696853637695,0.3050518035888672,0.0
142,600,10,Equal,0.09502792358398438,0.2808420658111572,0.0
143,600,10,Different,0.10550618171691895,0.3305392265319824,0.0
144,650,10,Equal,0.13234591484069824,0.3461027145385742,0.0
145,650,10,Different,0.11918210983276367,0.3043041229248047,0.0
146,700,10,Equal,0.12552475929260254,0.33466148376464844,0.0
147,700,10,Different,0.19723200798034668,0.3480534553527832,0.0
148,750,10,Equal,0.2061173915863037,0.5401492118835449,0.0
149,750,10,Different,0.22905445098876953,0.5808148384094238,0.0
150,800,10,Equal,0.18309450149536133,0.4610567092895508,0.0
151,800,10,Different,0.1720125675201416,0.40257716178894043,0.0
152,850,10,Equal,0.21098899841308594,0.41781091690063477,0.0
153,850,10,Different,0.21886396408081055,0.3941810131072998,0.0
154,900,10,Equal,0.21791577339172363,0.4408297538757324,0.0
155,900,10,Different,0.23855376243591309,0.45168209075927734,0.0
156,950,10,Equal,0.23948049545288086,0.47185277938842773,0.0
157,950,10,Different,0.24183320999145508,0.4671332836151123,0.0
158,1000,10,Equal,0.24990153312683105,0.5003554821014404,0.0
159,1000,10,Different,0.2626609802246094,0.49779510498046875,0.0
